债券代码_BdCd,债券名称_BdNm,交易日期_TrdDt,息票（%）,剩余期限_ResMat,净价收盘价(元)_ClNetPr,全价收盘价(元)_ClDirPr,付息频率(次/年)_Freq,发行日期_IssDt,到期日(债券期限截止日)_MatDt
010303,03国债(3),2023-01-31,1,0年76天,100.32,101.32,2,2003-04-15,2023-04-17
010504,05国债(4),2023-01-31,0.88,2年104天,104.3,105.18,1,2005-05-23,2012-05-25
019508,15国债08,2023-01-31,1.09,12年86天,114.39,115.48,2,2015-04-24,2035-04-27
019517,15国债17,2023-01-31,0.05,22年177天,113.1,113.15,2,2015-07-24,2045-07-27
019536,16国债08,2023-01-31,0.95,23年84天,103.43,104.39,2,2016-04-22,2046-04-25
019541,16国债13,2023-01-31,0.71,43年112天,108.47,109.18,2,2016-05-20,2066-05-23
019547,16国债19,2023-01-31,1.46,23年203天,99.32,100.78,2,2016-08-19,2046-08-22
019554,16国债26,2023-01-31,0.69,43年294天,103.3,103.99,2,2016-11-18,2066-11-21
019569,17国债15,2023-01-31,0.09,24年174天,113.86,113.95,2,2017-07-21,2047-07-24
019606,18国债24,2023-01-31,1.14,25年265天,114,115.14,2,2018-10-19,2048-10-22
019618,19国债08,2023-01-31,0.43,46年144天,114.9,115.33,2,2019-06-21,2069-06-24
019629,20国债03,2023-01-31,2.04,0年33天,100.05,102.09,1,2020-03-04,2023-03-05
019630,20国债04,2023-01-31,1.28,27年44天,101.2,102.49,2,2020-03-13,2050-03-16
019638,20国债09,2023-01-31,1.38,0年152天,100.15,101.53,1,2020-07-01,2023-07-02
019644,20国债14,2023-01-31,0.69,0年278天,100.7,101.39,1,2020-11-04,2023-11-05
019656,21国债08,2023-01-31,1.81,0年109天,100.19,102,1,2021-05-19,2023-05-20
019663,21国债15,2023-01-31,0.72,0年263天,100.36,101.08,1,2021-10-20,2023-10-21
019667,22国债02,2023-01-31,0.08,3年354天,98.67,98.75,1,2022-01-19,2027-01-20
019668,22国债03,2023-01-31,1.27,9年17天,98.63,99.9,2,2022-02-16,2032-02-17
019674,22国债09,2023-01-31,1.5,0年84天,100.03,101.53,0,2022-04-22,2023-04-25
019679,22国债14,2023-01-31,1.04,0年165天,99.96,101,0,2022-07-14,2023-07-15
019688,22国债23,2023-01-31,0.45,0年267天,99.77,100.22,0,2022-10-24,2023-10-25
101619,国债1619,2023-01-31,1.46,23年203天,99.24,100.7,2,2016-08-19,2046-08-22
,,,,,,,,,
,,,,,,,,,
